data_family,contains_personal_or_org_data,trigger_field,retention_mvp_pilot,retention_production_target,end_of_window_action,owner,notes,source_documents
operational_app_logs,possible,created_at,"14-30 days","30-90 days",delete,ops_admin,"Must avoid secrets and unnecessary personal data","docs/10_operations.md;docs/19_privacy_compliance.md"
security_audit_logs,yes,created_at,"90 days","180-365 days",archive_or_delete,security_admin,"Longer retention may be required by reviewed legal/audit posture","docs/10_operations.md;docs/08_security_threat_model.md;docs/19_privacy_compliance.md"
demo_logs_artifacts,possible,created_at,"until demo review complete","safe evidence archive only",delete_or_safe_archive,demo_admin,"Must be labeled demo/sanitized/simulated","docs/10_operations.md;docs/13_stanford_presentation_outline.md;docs/19_privacy_compliance.md"
import_reports_source_history,possible,imported_at,"indefinite or tied to source history","indefinite or policy-defined archive",retain_or_safe_archive,content_admin,"Traceability evidence is core product requirement","docs/16_source_onboarding_playbook.md;docs/19_privacy_compliance.md"
delivery_logs,yes,delivered_at,"policy-defined for repeat/support","policy-defined for repeat/analytics/disputes",anonymize_or_delete,ops_admin,"Keep only as long as repeat policy, analytics and support justify","docs/12_analytics_model.md;docs/18_telegram_delivery_playbook.md;docs/19_privacy_compliance.md"
attempt_records,yes,attempted_at,"policy-defined minimal window","policy-defined with privacy/legal review",anonymize_or_delete,product_admin,"Prefer pseudonymous identifiers where possible","docs/04_domain_model.md;docs/12_analytics_model.md;docs/19_privacy_compliance.md"
support_issue_reports,possible,created_at,"while support/abuse/quality context requires","policy-defined",delete_or_anonymize,product_admin,"Sanitize free-text sensitive data when possible","docs/03_use_cases.md;docs/19_privacy_compliance.md"
billing_events,yes,processed_at,"support/accounting/legal need","legal/accounting policy-defined",archive_or_delete,billing_admin,"Provider references allowed; no full payment data","docs/11_billing_model.md;docs/19_privacy_compliance.md"
invoices_billing_documents,yes,issued_at,"legal/accounting need","legal/accounting policy-defined",archive_or_delete,billing_admin,"Exact window requires jurisdiction-specific review","docs/11_billing_model.md;docs/19_privacy_compliance.md"
backups,possible,backup_created_at,"latest known-good for demo; 7-14 daily for closed pilot","14-30 days beta; 30+ days production or policy-defined",rotate_or_delete,ops_admin,"Longer retention may apply to import/audit evidence","docs/10_operations.md;docs/19_privacy_compliance.md"
